run,pct_data,n_train,best_val_loss,triplet_accuracy,label_accuracy,elapsed_min
1,100,3999,0.26624099441687576,0.8420523138832998,0.9803822937625755,105.06
2,80,3199,0.3515062489443355,0.817907444668008,0.9698189134808853,82.8
3,60,2399,0.37302606685146217,0.8128772635814889,0.9708249496981891,67.43
4,40,1599,0.46056914476618643,0.7676056338028169,0.9567404426559356,49.43
5,20,799,0.6266648476085965,0.6971830985915493,0.9079476861167002,31.48
